,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
7841,1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS             ,2,1341,44, ,D4,310 EAST 49TH STREET, ,10017,102,0,102,7531,60043,1959,2,D4,"$318,000.00",4/12/2017
9597,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1025,54, ,O6,250 WEST 54TH   STREET, ,10019,0,59,59,11750,134441,1911,4,O6,"$83,126,000.00",2/9/2017
9598,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1026,21, ,O5,1706-1720 BROADWAY, ,10019,0,2,2,8848,52150,1918,4,O5,"$268,124,175.00",1/5/2017
9601,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1260,28, ,O6,15 WEST 44TH   STREET, ,10036,0,14,14,7532,52851,1914,4,O6,"$68,000,000.00",5/18/2017
9602,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1260,64, ,O6,56 WEST 45TH   STREET, ,10036,0,62,62,4016,58538,1914,4,O6,"$50,000,000.00",1/5/2017
9613,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$20,000.00",8/16/2017
9614,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$19,000.00",5/19/2017
9615,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 W 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$17,480.00",3/3/2017
9616,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$20,682.00",2/16/2017
9617,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,$100.00,10/26/2016
9618,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,$100.00,9/28/2016
9619,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9620,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9621,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9622,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9623,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9624,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9625,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9626,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,302.00",9/22/2016
9627,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9628,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9629,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9630,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9631,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$33,900.00",9/22/2016
9632,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$149,700.00",9/22/2016
9633,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$49,900.00",9/22/2016
9634,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,"$88,920.00",9/22/2016
